,zip,city,county,lat,long
474,95901,Marysville,Yuba,39.1663,-121.5105
475,95820,Sacramento,Sacramento,38.5347,-121.4451
476,93561,Tehachapi,Kern,35.1322,-118.449
477,94114,San Francisco,San Francisco,37.7587,-122.433
478,90266,Manhattan Beach,Los Angeles,33.8896,-118.3996
479,94401,San Mateo,San Mateo,37.5735,-122.3225
480,91722,Covina,Los Angeles,34.0972,-117.9065
481,94523,Pleasant Hill,Contra Costa,37.954,-122.0737
482,92131,San Diego,San Diego,32.9123,-117.0898
483,91780,Temple City,Los Angeles,34.1016,-118.0537
484,92394,Victorville,San Bernardino,34.5563,-117.3528
485,94040,Mountain View,Santa Clara,37.3855,-122.088
486,92301,Adelanto,San Bernardino,34.5841,-117.4242
487,93955,Seaside,Monterey,36.6217,-121.7935
488,92596,Winchester,Riverside,33.6243,-117.0885
489,92672,San Clemente,Orange,33.4361,-117.6231
490,91325,Northridge,Los Angeles,34.2353,-118.5188
491,95361,Oakdale,Stanislaus,37.7741,-120.8377
492,92260,Palm Desert,Riverside,33.7225,-116.377
493,90222,Compton,Los Angeles,33.9099,-118.2357
494,90260,Lawndale,Los Angeles,33.8879,-118.351
495,90277,Redondo Beach,Los Angeles,33.8307,-118.3832
496,91750,La Verne,Los Angeles,34.1159,-117.7708
497,92551,Moreno Valley,Riverside,33.8814,-117.2261
498,91321,Newhall,Los Angeles,34.3795,-118.523
499,95348,Merced,Merced,37.3302,-120.508
500,92103,San Diego,San Diego,32.7466,-117.1636
501,93710,Fresno,Fresno,36.8236,-119.7621
502,92123,San Diego,San Diego,32.7973,-117.1392
503,95341,Merced,Merced,37.2308,-120.5144
504,92595,Wildomar,Riverside,33.6021,-117.264
505,91604,Studio City,Los Angeles,34.143,-118.3913
506,96001,Redding,Shasta,40.5605,-122.4116
507,93422,Atascadero,San Luis Obispo,35.4754,-120.6638
508,91915,Chula Vista,San Diego,32.6315,-116.9408
509,92841,Garden Grove,Orange,33.7817,-117.9766
510,96002,Redding,Shasta,40.5486,-122.3339
511,93555,Ridgecrest,Kern,35.6225,-117.6709
512,94115,San Francisco,San Francisco,37.7856,-122.4358
513,91007,Arcadia,Los Angeles,34.1243,-118.0515
514,94621,Oakland,Alameda,37.7589,-122.1853
515,93060,Santa Paula,Ventura,34.3547,-119.0713
516,91206,Glendale,Los Angeles,34.1556,-118.2322
517,94526,Danville,Contra Costa,37.814,-121.966
518,91773,San Dimas,Los Angeles,34.1023,-117.8169
519,91107,Pasadena,Los Angeles,34.151,-118.0889
520,92220,Banning,Riverside,33.9282,-116.8899
521,91754,Monterey Park,Los Angeles,34.0534,-118.1271
522,91791,West Covina,Los Angeles,34.0653,-117.8978
523,95842,Sacramento,Sacramento,38.6865,-121.3494
524,94102,San Francisco,San Francisco,37.7813,-122.4167
525,90230,Culver City,Los Angeles,33.9949,-118.3991
526,91941,La Mesa,San Diego,32.7604,-117.0115
527,91354,Valencia,Los Angeles,34.4466,-118.5374
528,91423,Sherman Oaks,Los Angeles,34.1526,-118.4322
529,92679,Trabuco Canyon,Orange,33.6625,-117.5903
530,95118,San Jose,Santa Clara,37.2568,-121.8896
